1,17279751065.345787
2,17028172338.566208
3,16948349348.85537
4,16915236227.479874
5,16903173798.136707
6,16899124629.525003
7,16897244159.500061
8,16896319106.369843
9,16896202782.822384
10,16896160923.402977
11,16896118218.069008
12,16896109963.581478
13,16896107275.102173
14,16896107275.102173
15,16896107275.102173
16,16896107275.102173
17,16896107275.102173
18,16896107275.102173
19,16896107275.102173
20,16896107275.102173
21,16896107275.102173
22,16896107275.102173
23,16896107275.102173
24,16896107275.102173
25,16896107275.102173
26,16896107275.102173
27,16896107275.102173
28,16896107275.102173
29,16896107275.102173
30,16896107275.102173
